Canal,Total_de_visualizacoes
MrBeast,1034975775
"Nam Phương",392319202
"Stokes Twins",389253802
火影忍者一家,348880075
ROSÉ,333802547
"La La Learn",308866691
"Leisi Crazy",245697676
LKCJ,231904142
"Cool Items Official",228127756
路飞与唐舞桐,225214913
"Justin Flom",223065765
"Marusya Outdoors",220860188
"Mark Rober",213152142
"Daniel LaBelle",203374553
BABYMONSTER,187909669
"LE FOOT EN VIDÉO",148206000
"Celine Dept",144671480
"Mr DegrEE",140832489
"HYBE LABELS",139898889
"Super Beauty team",131262960
M档案,129935817
萌萌与舞桐,122369683
"LearnToon - Learn & Play",117372355
一航1,111037411
超人夫妇,108565518
"Jojo Sim",103163590
"Thiago Productions",102834099
佐助与鸣人,99909169
Brianna,97972077
兔子警官,92023186
"MasomkaMagic  ",91484414
"Los Wagners",89788570
"Topper Guild",88061862
"حرف إبداعية للمنزل في 5 دقائق",87812815
JENNIE,87515666
"Holly Wolly Bow Arabic",87035390
MoniLina,86865220
"Emilly Vick",86664437
STORROR,82764414
"Trà Đặng Official",81941599
UNILAD,80980903
"Victoria Pfeifer",79855295
可爱小甜甜,78310841
"Omar Raja - ESPN",74626272
"Crafty Buddy",74284616
JioStudios,73222272
"Andrey Grechka",72940187
SMTOWN,72349324
cricket.com.au,71932834
"Mnet K-POP",71237876
"Анастасия Тарасова",70522755
"ISSEI / いっせい",68337256
好人小丑,68029881
"DUDU e CAROL",65950681
Preston,63972334
"Brawl Stars",63532995
"مهارات حرفية",62426415
"Anthony Wreyn",62414069
"Mythri Movie Makers",62061714
"Zack D. Films",61537635
NFL,60889077
整个路人,60867148
"Jordan Matter",58046088
"triplets - 胡家三千金",57038398
"The Royalty Family",55252955
"Red Bull",54542220
T-Series,53597970
"JYP Entertainment",53065609
"Devil Lilith",52747794
奇軒Tricking,52531800
AnythingAlexia,52212017
PowerfulJRE,50533067
"UR · Cristiano",50249296
"FORMULA 1",49787067
GLITCH,48965204
"Натурал Альбертович",47679810
"Dil Raju",47559853
"Ross Smith",46709776
"Brent Rivera",46315720
CONMEBOL,46110572
DaFuq!?Boom!,46052808
"Universal Pictures",44983189
Nubank,44885638
"Nadir Show",43481398
ESPN,43258505
"ILYA BORZOV",43152002
"Family Games Media",43071799
"Kan Andrey",42903009
"Ryan Trahan",42729296
"Zidaan Shahid Aly",42433247
"Minec Music Short",41824727
ge,41261402
"LeoNata Family",40422314
Apple,40378780
Jeenie.Weenie,40229776
KarolGVEVO,40160158
家庭搞笑日记,38776781
"Nick DiGiovanni",38406979
"Bondi Vet",38404366
"T-Series Telugu",38027215
"KING VADER",37384971
"Triple Charm",37244780
"Secret Vlog",36837449
"Diana Belitskay",36820903
小蚂蚁和小宇宙,36511483
KSI,36381562
"Endless Love",34738697
"Matt Larose",34297331
"Dude Perfect",34193739
"KQ ENTERTAINMENT",34127443
"Chefclub Shorts",34121973
Skitsters,34030710
"Combo Panda",34008603
OfficialGDRAGON,33656947
"Red Bull Bike",33389476
"Alyssa's Ways",32276266
"Yellow Dress Girl",32276266
shakiraVEVO,32011610
"Blue Man Group",31561402
"izna (이즈나)",31423394
"Elsa Arca",31332202
Enaldinho,30986882
MiniMoochi,30915585
"Bruno Mars",30850579
SNAK,30478229
SQUEEZIE,30167803
"Kendrick Lamar",30166265
"Funny daughter's daily life",30145624
はじめしゃちょー（hajime）,30135032
"Marvel Entertainment",29943876
"MasterChef Brasil",29913782
"Mini Katana",29685536
"Ben Azelart",29662875
"Alan Chikin Chow",28937717
"Paramount Pictures",28859747
"Ong Squad",28660792
"Linkin Park",28035777
Netflix,27860503
"UV Creations",27855693
"MasterChef World Shorts",27850414
"Saregama Telugu",27766774
"The People's Court",27701999
Jesser,26301292
"Harley Quinn with the Joker",26097063
BigSchool,25969384
"Joe Albanese",25819434
"ESPN Brasil",25783214
"Clash of Clans",25477966
"Tyler, The Creator",25435989
"TNT Sports Brasil",25087687
im_siowei,24790428
"Pocket Cine",24658582
help_by_god🫂,24645657
"The Stella Show",24349804
"Hey It's Honeysuckle",24301645
"MrBeast 2",23644609
"Sick Science!",23479322
"For Crafts Sake Shorts",23422619
"Caters Clips",23308245
"Karina ",23300860
"Recap Mood",22959992
"Garena Free Fire Global",22918717
"Karan Aujla",22722576
"Sonar Produtora ",22196896
BeatboxJCOP,21906490
"Kurzgesagt – In a Nutshell",21631680
"Robby and Penny",21542969
"YBS Youngbloods",21521683
"LALIGA EA SPORTS",21513415
"Sam and Colby",21374165
MLB,21268961
Kep1er,20836541
Jazzghost,20642045
"Snow Man",20295075
"Dr. Max Reiner",20125146
"MrLololoshka (Роман Фильченков)",20091191
"Associated Press",19952332
"Kate Brush",19862622
"Tyler, The Creator - Topic",19847825
НОВОСТНИЧОК,19806163
"LLOUD Official",19732278
NickandCarrie,19710859
"Socola Funny",19456276
"Luan Santana",19254594
"Rehaan Records",19036822
"Fox News",18934332
"Leozinn 077",18892381
MrTalalaa,18793985
IShowSpeed,18691018
"Kai Cenat Live",18550163
Lionfield,18457322
JREHighlights,18342809
Fortnite,18257959
LadyGagaVEVO,18231463
"李子柒 Liziqi",17854099
"Mcfly et Carlito",17760364
XG,17633256
"Kika Kim",17426821
LazarBeam,17414429
"Creepy Nuts",16987678
"Fox Movie",16849117
"League of Legends",16760634
THEBLACKLABEL,16605263
"Uzak Şehir",16492828
GrandTV,16431840
Amixem,15992639
STAYC,15899761
"DOM Studio",15718756
MoreSidemen,15511791
"Canal GOAT",15141280
RCDriftTok,15062767
BANGTANTV,15030045
"GG Animation",15005857
TheWeekndVEVO,14884285
BATEK_OFFICIAL,14458314
"Movies Universe",14450898
"Jason Derulo",14276667
"Toronto Argonauts",14253359
"MC Luuky",14243145
"Stray Kids Japan Official YouTube",14134040
"First We Feast",13945356
Peacock,13873876
"CANAL+ Sport",13870366
NBA,13848872
よにのちゃんねる,13844803
BwaJack,13749172
"Mari Maria",13737411
Vsauce,13693422
"Vlog Creations",13576302
SPOTVNOW,13575097
"Savage Vlogs",13497504
"TOUZANI TV",13383899
ハムショーのスポーツ実況ch,13351223
"BROTHERS VLOG",13222182
К-Media,13211644
"SAY MY NAME",13156196
"TD BRICKS",12970645
"Tibo InShape",12951099
WWE,12950907
"Riot Games Music",12569565
"America's Funniest Home Videos",12444730
"STUDIO CHOOM [스튜디오 춤]",12419301
BVIRAL,12383578
"Andra Gogan",12339332
"JuTOS tv",12254182
"Stay Wild",12191831
"Sithara Entertainments",12191609
TVアニメ【推しの子】公式チャンネル,12188367
東海オンエア,12116222
"Wee Animation",12051488
JaidenAnimations,11924477
"Военные Сводки",11909121
BalcevMMA_BOXING,11765155
"IMP. OFFICIAL",11752628
INI,11644962
CazéTV,11635637
"Anwar Jibawi",11460275
CTVBY,11436223
"Tito Double P",11390653
Sevdaliza,11376103
Veritasium,11361014
"Kirya Kolesnikov",11207148
"Lala Tv",11143139
MalumaVEVO,11005639
"Nissy Channel",10959137
"Sushant KC",10778646
TylaVEVO,10765156
"FC Barcelona",10748108
"DAZN Japan",10683130
"عائلة ابو رعد Abo Raad family",10672146
meGAME,10672066
"KISS OF LIFE",10639329
"Manchester United",10543936
"Thoren Bradley",10518782
"Tommy Technetium",10478478
"TNT Sports",10439905
"People Media Factory",10433043
"ИЛЬДАР АВТО-ПОДБОР",10431150
露兮粑粑,10403587
"INNA SERG",10276183
Banheiristas,10194830
"Real Douluo Short Video",10180621
"Saturday Night Live",10000880
"Megan Thee Stallion",9963422
"SBSKPOP X INKIGAYO",9921942
"Noel Deyzel",9810391
"Sakuna Ch. 結城さくな",9772030
"История одного вокалиста",9752116
"Apple TV",9728340
MushroomScreen,9688583
GloRillaVEVO,9674304
MoreAliA,9625230
"Guilherme e Benuto",9479454
"The W.A.D.E. Concept",9479095
Flighthouse,9465025
"Man City",9438094
EYstreem,9425695
"july movies",9421471
A4,9420943
"Debordo Leekunfa",9367797
"Amelia Dimoldenberg",9363824
"Joé Dwèt Filé",9356124
にじさんじ,9348696
山卡卡小月,9334932
"Archie5 Reacts",9329794
"SKITS Arabic",9315632
"SnowyThrillers Movie",9301288
"Henrique e Juliano",9279857
Futcrunch,9196966
"Кушать Хочу",9158218
"CBS Sports Golazo",9074710
Vivziepop,9066386
"Kysha e Mine",9013984
"Saregama Tamil",8978049
"Disney Plus",8962750
TerraGreen,8895683
AveryB,8892385
"THE FIRST TAKE",8841616
"Paramount Brasil",8836681
"Eric Kanevsky Official",8822094
"Gabito Ballesteros",8783193
"Corridor Digital",8761348
"Rancho Humilde",8758712
"House of Highlights",8727648
"Netflix Sports",8703388
"Kalogeras Sisters ",8648444
"Bad Friends",8595967
"FOX 4 Now",8591981
"Руслан Гладенко",8572897
"Жекич Дубровский",8536069
"Fight Hub TV",8511824
"Warner Bros. Pictures",8461292
"Rauw Alejandro",8442598
"shark movie",8354058
Hmelkofm,8295503
"Comedy Club",8264768
"Иван Абрамов",8256103
華納音樂西洋日韓頻道,8185977
"Mat Armstrong",8141473
"Celebrity Gossip Central",8079062
"TWICE JAPAN OFFICIAL YouTube Channel",7957986
"Maryana Lokel",7936754
"Sun TV",7918075
"L' immigré parisien",7890893
"King & Prince",7883352
"MC Cebezinho",7821963
Joris,7812796
"Tottenham Hotspur",7802826
